epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2094.77,0.38478,0.60179,0.82719,0.88637,0.89261,0.9139,0.84007,0.30998,0.70738,0.79635,0.000288718,0.000288718,0.000288718
68,2124.88,0.40694,0.61913,0.84495,0.8757,0.90633,0.91395,0.83094,0.30756,0.71444,0.79709,0.000280471,0.000280471,0.000280471
69,2154.91,0.40923,0.59543,0.83565,0.87387,0.90209,0.91356,0.83684,0.30272,0.72419,0.79747,0.000272224,0.000272224,0.000272224
70,2184.84,0.40216,0.58455,0.84552,0.87707,0.89645,0.91227,0.83374,0.29405,0.71798,0.79485,0.000263978,0.000263978,0.000263978
71,2214.76,0.41729,0.65228,0.84632,0.87969,0.88763,0.91235,0.83443,0.29273,0.71893,0.79392,0.000255731,0.000255731,0.000255731
72,2245.02,0.39014,0.5759,0.82632,0.88441,0.8786,0.91261,0.83466,0.29723,0.70483,0.79724,0.000247484,0.000247484,0.000247484
73,2274.88,0.40745,0.60559,0.84006,0.88495,0.87768,0.91242,0.83794,0.29652,0.69458,0.79703,0.000239238,0.000239238,0.000239238
74,2305.08,0.38979,0.60003,0.83314,0.88807,0.88448,0.91321,0.8445,0.29112,0.69833,0.79554,0.000230991,0.000230991,0.000230991
75,2334.92,0.41169,0.60259,0.83135,0.88718,0.89112,0.91274,0.84126,0.29516,0.705,0.79581,0.000222744,0.000222744,0.000222744
76,2365.02,0.39451,0.59623,0.82829,0.87492,0.88724,0.9078,0.84021,0.29613,0.70362,0.79739,0.000214497,0.000214497,0.000214497
77,2394.97,0.40332,0.6003,0.83996,0.83839,0.90005,0.90504,0.83358,0.29426,0.71063,0.79735,0.000206251,0.000206251,0.000206251
78,2425.09,0.39506,0.55906,0.82295,0.84209,0.88678,0.90151,0.83076,0.2888,0.7166,0.79717,0.000198004,0.000198004,0.000198004
79,2454.94,0.39207,0.57552,0.8252,0.87397,0.85547,0.90163,0.83359,0.28981,0.70596,0.79809,0.000189757,0.000189757,0.000189757
80,2484.84,0.37417,0.54714,0.82562,0.84179,0.90308,0.90443,0.8329,0.29415,0.68779,0.80097,0.000181511,0.000181511,0.000181511
81,2514.91,0.3849,0.58399,0.82528,0.90013,0.83745,0.90445,0.83457,0.2925,0.68021,0.80089,0.000173264,0.000173264,0.000173264
82,2544.9,0.35509,0.55842,0.83945,0.8392,0.88938,0.90455,0.83265,0.29364,0.67716,0.79872,0.000165017,0.000165017,0.000165017
83,2574.7,0.37852,0.57163,0.8303,0.83905,0.88715,0.90475,0.83545,0.28996,0.68322,0.79696,0.000156771,0.000156771,0.000156771
84,2604.86,0.36796,0.55814,0.83567,0.84101,0.88608,0.905,0.83564,0.2828,0.69039,0.79559,0.000148524,0.000148524,0.000148524
85,2634.59,0.39307,0.57396,0.84578,0.84458,0.88875,0.90494,0.83328,0.28041,0.69239,0.7945,0.000140277,0.000140277,0.000140277
86,2665.97,0.36051,0.55638,0.83621,0.84959,0.89692,0.90535,0.84036,0.27424,0.68972,0.7928,0.000132031,0.000132031,0.000132031
87,2697.77,0.37056,0.57708,0.83141,0.85747,0.89729,0.90527,0.84215,0.27321,0.68366,0.79337,0.000123784,0.000123784,0.000123784
88,2727.7,0.3655,0.5312,0.82982,0.8593,0.89868,0.90552,0.84693,0.27691,0.6794,0.79639,0.000115537,0.000115537,0.000115537
89,2757.87,0.36154,0.53251,0.82245,0.8602,0.8956,0.90577,0.8452,0.27896,0.67931,0.79629,0.00010729,0.00010729,0.00010729
90,2788.08,0.36674,0.53995,0.82599,0.8617,0.89039,0.90614,0.84676,0.27737,0.67535,0.79692,9.90437e-05,9.90437e-05,9.90437e-05
91,2817.53,0.35785,0.6429,0.7985,0.86125,0.89456,0.90612,0.84757,0.27686,0.66948,0.79718,9.0797e-05,9.0797e-05,9.0797e-05
92,2847.25,0.33579,0.60429,0.80692,0.86029,0.89772,0.90422,0.84625,0.2781,0.67523,0.7972,8.25503e-05,8.25503e-05,8.25503e-05
93,2876.87,0.34101,0.59862,0.81059,0.85592,0.89807,0.90421,0.84159,0.28026,0.68763,0.79711,7.43036e-05,7.43036e-05,7.43036e-05
94,2906.52,0.32726,0.60534,0.79326,0.85074,0.89782,0.89869,0.83399,0.28594,0.70659,0.79808,6.60569e-05,6.60569e-05,6.60569e-05
95,2935.81,0.32082,0.61123,0.82007,0.85043,0.89733,0.89695,0.83094,0.2865,0.7095,0.79767,5.78102e-05,5.78102e-05,5.78102e-05
96,2965.38,0.3184,0.61679,0.79636,0.85575,0.89282,0.90176,0.8371,0.28407,0.7002,0.79561,4.95635e-05,4.95635e-05,4.95635e-05
97,2995.25,0.32274,0.60615,0.79124,0.85318,0.89513,0.89925,0.83527,0.28246,0.6945,0.79484,4.13168e-05,4.13168e-05,4.13168e-05
98,3024.83,0.3095,0.59859,0.79821,0.85455,0.89461,0.89961,0.83393,0.27921,0.68048,0.79415,3.30701e-05,3.30701e-05,3.30701e-05
99,3054.32,0.3028,0.57368,0.79997,0.85589,0.89417,0.89955,0.83633,0.27748,0.67526,0.79387,2.48234e-05,2.48234e-05,2.48234e-05
100,3083.66,0.31208,0.58609,0.80737,0.85839,0.8911,0.89955,0.84342,0.27495,0.66947,0.79399,1.65767e-05,1.65767e-05,1.65767e-05
